model;core;flow;base_frequency;unit_of_clock_frequency;max_boost_frequency;unit_of_max_boost_frequency;cache;unit_of_cache;tdp;unit_of_tdp;socket;memory_type;memory_count;cpu_scale
Xeon Gold 5115;10;20;2.4;GHz;3.2;GHz;13.75;MB;85;W;LGA 3647;DDR4-2400;6;4S
Xeon Silver 4114;10;20;2.2;GHz;3.0;GHz;13.75;MB;85;W;LGA 3647;DDR4-2400;6;2S
Xeon Gold 5217;8;16;3.0;GHz;3.7;GHz;11.00;MB;115;W;LGA 3647;DDR4-2666;6;4S
Xeon Silver 4114T;10;20;2.2;GHz;3.0;GHz;13.75;MB;85;W;LGA 3647;DDR4-2400;6;2S
Xeon Silver 4210;10;20;2.2;GHz;3.2;GHz;13.75;MB;85;W;LGA 3647;DDR4-2400;6;2S
Xeon Silver 4210R;10;20;2.4;GHz;3.2;GHz;13.75;MB;100;W;LGA 3647;DDR4-2400;6;2S
Xeon Silver 4210T;10;20;2.3;GHz;3.2;GHz;13.75;MB;95;W;LGA 3647;DDR4-2400;6;2S
Xeon Silver 4211W;12;24;2.5;GHz;4.0;GHz;16.50;MB;100;W;LGA 3647;DDR4-2400;6;2S
Xeon Silver 4214;12;24;2.2;GHz;3.2;GHz;16.50;MB;85;W;LGA 3647;DDR4-2400;6;2S
Xeon Silver 4214R;12;24;2.4;GHz;3.5;GHz;16.50;MB;100;W;LGA 3647;DDR4-2400;6;2S
Xeon Silver 4214Y;12;24;2.2;GHz;3.2;GHz;16.50;MB;85;W;LGA 3647;DDR4-2400;6;2S
Xeon Gold 5118;12;24;2.3;GHz;3.2;GHz;16.50;MB;105;W;LGA 3647;DDR4-2400;6;4S
Xeon Silver 4116;12;24;2.1;GHz;3.0;GHz;16.50;MB;85;W;LGA 3647;DDR4-2400;6;2S
Xeon Silver 4116T;12;24;2.1;GHz;3.0;GHz;16.50;MB;85;W;LGA 3647;DDR4-2400;6;2S
Xeon Gold 6226;12;24;2.7;GHz;3.7;GHz;19.25;MB;125;W;LGA 3647;DDR4-2933;6;4S
Xeon Gold 5213W;10;20;2.7;GHz;4.3;GHz;13.75;MB;100;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 5215;10;20;2.5;GHz;3.4;GHz;13.75;MB;85;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 5215L;10;20;2.5;GHz;3.4;GHz;13.75;MB;85;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 5215M;10;20;2.5;GHz;3.4;GHz;13.75;MB;85;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 5215R;10;20;2.7;GHz;3.9;GHz;13.75;MB;100;W;LGA 3647;DDR4-2666;6;2S
Xeon Gold 6245W;12;24;3.3;GHz;4.4;GHz;19.25;MB;180;W;LGA 3647;DDR4-2933;6;4S
Xeon Gold 6246;12;24;3.3;GHz;4.2;GHz;24.75;MB;165;W;LGA 3647;DDR4-2933;6;4S
Xeon Gold 6256;12;24;3.6;GHz;4.5;GHz;33.00;MB;205;W;LGA 3647;DDR4-2933;6;4S
Xeon Gold 5117;14;28;2.0;GHz;2.8;GHz;19.25;MB;105;W;LGA 3647;DDR4-2400;6;4S
Xeon Gold 5117F;14;28;2.0;GHz;2.8;GHz;19.25;MB;113;W;LGA 3647;DDR4-2400;6;4S
Xeon Gold 5216W;8;16;3.5;GHz;4.2;GHz;16.50;MB;160;W;LGA 3647;DDR4-2666;6;4S
Xeon Gold 5119T;14;28;1.9;GHz;3.2;GHz;19.25;MB;85;W;LGA 3647;DDR4-2400;6;4S
Xeon Gold 5120;14;28;2.2;GHz;3.2;GHz;19.25;MB;105;W;LGA 3647;DDR4-2400;6;4S
Xeon Gold 5120T;14;28;2.2;GHz;3.2;GHz;19.25;MB;105;W;LGA 3647;DDR4-2400;6;4S
Xeon Gold 6226R;16;32;2.9;GHz;3.9;GHz;22.00;MB;150;W;LGA 3647;DDR4-2933;6;2S
Xeon Gold 6231;16;32;3.2;GHz;3.9;GHz;22.00;MB;185;W;LGA 3647;DDR4-2933;6;4S
Xeon Gold 6231C;16;32;3.2;GHz;3.9;GHz;22.00;MB;185;W;LGA 3647;DDR4-2933;6;4S
Xeon Gold 5122;4;8;3.6;GHz;3.7;GHz;16.50;MB;105;W;LGA 3647;DDR4-2666;6;4S
Xeon Platinum 8156;4;8;3.6;GHz;3.7;GHz;16.50;MB;105;W;LGA 3647;DDR4-2666;6;8S
Xeon Gold 6241W;16;32;3.2;GHz;4.4;GHz;22.00;MB;205;W;LGA 3647;DDR4-2933;6;4S
Xeon Gold 6242;16;32;2.8;GHz;3.9;GHz;22.00;MB;150;W;LGA 3647;DDR4-2933;6;4S
Xeon Silver 4216;16;32;2.1;GHz;3.2;GHz;22.00;MB;100;W;LGA 3647;DDR4-2400;6;2S
Xeon Silver 4216R;16;32;2.2;GHz;3.7;GHz;22.00;MB;125;W;LGA 3647;DDR4-2400;6;2S
